id	bacterial_strain	organism_type	experiment	replicate	sampling_date	day_in_experiment	unreliable_pop_size	notes	OD600	pred_cells_ml	pred_corrected								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	16/11/2015	0	no	NA	0.000	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	14/12/2015	28	no	NA	0.170	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	11/01/2016	56	no	NA	0.163	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	08/02/2016	84	no	NA	0.166	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	07/03/2016	112	no	NA	0.190	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	03/04/2016	139	no	NA	0.135	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	04/05/2016	170	no	NA	0.174	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	30/05/2016	196	no	NA	0.192	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	27/06/2016	224	no	NA	0.218	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	25/07/2016	252	no	NA	0.190	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	22/08/2016	280	no	NA	0.233	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	19/09/2016	308	no	NA	0.196	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	17/10/2016	336	no	NA	0.208	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	14/11/2016	364	no	NA	0.212	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	12/12/2016	392	no	NA	0.213	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	09/01/2017	420	no	NA	0.220	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	06/02/2017	448	no	NA	0.212	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	06/03/2017	476	no	NA	0.194	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	13/03/2017	483	no	NA	0.232	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	03/04/2017	504	no	NA	0.222	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	01/05/2017	532	yes	NA	0.127	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	29/05/2017	560	no	NA	0.226	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	26/06/2017	588	no	NA	0.213	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	24/07/2017	616	no	NA	0.207	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	21/08/2017	644	no	NA	0.198	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	18/09/2017	672	no	NA	0.244	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	17/10/2017	701	no	NA	0.266	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	14/11/2017	729	no	NA	0.218	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	12/12/2017	757	no	NA	0.246	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	09/01/2018	785	no	NA	0.227	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	06/02/2018	813	no	NA	0.260	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	06/03/2018	841	no	NA	0.217	NA	NA								
Ec1	Escherichia_coli_ATCC_11303	bacteria	bacteria-ciliate	1	03/04/2018	869	no	NA	0.233	NA	NA								
