Species,Treatment,Medium,Replicate,Timepoint,Isolate,Ratio
BD,Evo,KB,R1,TP1,1,1.0783031188797652
BD,Evo,KB,R1,TP1,2,0.9763884675068208
BD,Evo,KB,R1,TP1,3,1.0430570915611581
BD,Evo,KB,R1,TP1,4,0.999568287274914
BD,Evo,KB,R1,TP1,5,0.9770452798140047
BD,Evo,KB,R1,TP1,6,1.1186862013956176
BD,Evo,KB,R1,TP1,7,1.0508387949886528
BD,Evo,KB,R1,TP1,8,1.1100171488908679
BD,Evo,KB,R1,TP1,9,1.1577948070505102
BD,Evo,KB,R1,TP1,10,1.1255196592405552
BD,Evo,KB,R1,TP2,1,2.2024613062517875
BD,Evo,KB,R1,TP2,2,1.2910624591531252
BD,Evo,KB,R1,TP2,3,1.358013816982078
BD,Evo,KB,R1,TP2,4,1.304494488322551
BD,Evo,KB,R1,TP2,5,1.2581609472886375
BD,Evo,KB,R1,TP2,6,1.165185032943922
BD,Evo,KB,R1,TP2,7,1.3478919478508429
BD,Evo,KB,R1,TP2,8,1.2667604037873277
BD,Evo,KB,R1,TP2,9,1.0908173507192858
BD,Evo,KB,R1,TP2,10,1.2363034516356692
BD,Evo,KB,R2,TP1,1,1.3083483671580796
BD,Evo,KB,R2,TP1,2,1.2297570773157256
BD,Evo,KB,R2,TP1,3,1.0589162814418986
BD,Evo,KB,R2,TP1,4,1.1783734760921407
BD,Evo,KB,R2,TP1,5,1.0774636170566763
BD,Evo,KB,R2,TP1,6,1.2301877026032169
BD,Evo,KB,R2,TP1,7,1.0980248870967917
BD,Evo,KB,R2,TP1,8,1.1462288207935467
BD,Evo,KB,R2,TP1,9,1.0372371255544572
BD,Evo,KB,R2,TP1,10,0.9505118025039336
BD,Evo,KB,R2,TP2,1,0.9732696964852929
BD,Evo,KB,R2,TP2,2,0.9340044998167667
BD,Evo,KB,R2,TP2,3,0.930824832289937
BD,Evo,KB,R2,TP2,4,0.9774063090954367
BD,Evo,KB,R2,TP2,5,1.0537400784912454
BD,Evo,KB,R2,TP2,6,0.5562460784281742
