,Chosen samples
PS_Bd_r01,"['PS_Bd_r01_2015_08_24_L001-L004_merged', 'PS_Bd_r01_2015_09_21_L001-L004_merged', 'PS_Bd_r01_2015_10_19_L001-L004_merged', 'PS_Bd_r01_2015_11_16_L002', 'PS_Bd_r01_2015_12_14_L002', 'PS_Bd_r01_2016_01_11_L001', 'PS_Bd_r01_2016_02_08_L001', 'PS_Bd_r01_2016_03_07_L001', 'PS_Bd_r01_2016_04_03_L001', 'PS_Bd_r01_2016_05_04_L001', 'PS_Bd_r01_2016_05_30_L001', 'PS_Bd_r01_2016_07_25_L003', 'PS_Bd_r01_2016_08_22_L003', 'PS_Bd_r01_2016_09_19_L003', 'PS_Bd_r01_2016_10_17_L001', 'PS_Bd_r01_2016_11_14_L004', 'PS_Bd_r01_2016_12_12_L001', 'PS_Bd_r01_2017_01_09_L001', 'PS_Bd_r01_2017_02_06_L004', 'PS_Bd_r01_2017_03_06_L002', 'PS_Bd_r01_2017_04_03_L001', 'PS_Bd_r01_2017_05_29_L001', 'PS_Bd_r01_2017_07_24_L001', 'PS_Bd_r01_2017_08_21_L002']"
PS_Bd_r02,"['PS_Bd_r02_2015_08_24_L001-L004_merged', 'PS_Bd_r02_2015_09_21_L001-L004_merged', 'PS_Bd_r02_2015_10_19_L001-L004_merged', 'PS_Bd_r02_2015_11_16_L002', 'PS_Bd_r02_2015_12_14_L001', 'PS_Bd_r02_2016_01_11_L001', 'PS_Bd_r02_2016_02_08_L001', 'PS_Bd_r02_2016_03_07_L001', 'PS_Bd_r02_2016_04_03_L001', 'PS_Bd_r02_2016_05_04_L001', 'PS_Bd_r02_2016_05_30_L001', 'PS_Bd_r02_2016_07_25_L003', 'PS_Bd_r02_2016_08_22_L003', 'PS_Bd_r02_2016_09_19_L003', 'PS_Bd_r02_2016_10_17_L001', 'PS_Bd_r02_2016_11_14_L001', 'PS_Bd_r02_2016_12_12_L001', 'PS_Bd_r02_2017_01_09_L001', 'PS_Bd_r02_2017_02_06_L001', 'PS_Bd_r02_2017_03_06_L001', 'PS_Bd_r02_2017_04_03_L001', 'PS_Bd_r02_2017_05_29_L001', 'PS_Bd_r02_2017_06_26_L001', 'PS_Bd_r02_2017_07_24_L001', 'PS_Bd_r02_2017_08_21_L002']"
PS_Bd_r03,"['PS_Bd_r03_2015_08_24_L001-L004_merged', 'PS_Bd_r03_2015_09_21_L001-L004_merged', 'PS_Bd_r03_2015_10_19_L001-L004_merged', 'PS_Bd_r03_2015_11_16_L002', 'PS_Bd_r03_2015_12_14_L002', 'PS_Bd_r03_2016_01_11_L001', 'PS_Bd_r03_2016_02_08_L001', 'PS_Bd_r03_2016_03_07_L001', 'PS_Bd_r03_2016_04_03_L002', 'PS_Bd_r03_2016_05_04_L001', 'PS_Bd_r03_2016_05_30_L001', 'PS_Bd_r03_2016_07_25_L003', 'PS_Bd_r03_2016_08_22_L003', 'PS_Bd_r03_2016_09_19_L003', 'PS_Bd_r03_2016_10_17_L001', 'PS_Bd_r03_2016_11_14_L001', 'PS_Bd_r03_2016_12_12_L001', 'PS_Bd_r03_2017_01_09_L001', 'PS_Bd_r03_2017_04_03_L001', 'PS_Bd_r03_2017_05_29_L001', 'PS_Bd_r03_2017_06_26_L001', 'PS_Bd_r03_2017_07_24_L001', 'PS_Bd_r03_2017_08_21_L001', 'PS_Bd_r03_2017_09_18_L002']"
PS_Ct_r01,"['PS_Ct_r01_2015_08_24_L001', 'PS_Ct_r01_2015_09_21_L001', 'PS_Ct_r01_2015_10_19_L001', 'PS_Ct_r01_2015_11_16_L002', 'PS_Ct_r01_2015_12_14_L002', 'PS_Ct_r01_2016_01_11_L002', 'PS_Ct_r01_2016_02_08_L002', 'PS_Ct_r01_2016_03_07_L001', 'PS_Ct_r01_2016_04_03_L001', 'PS_Ct_r01_2016_05_04_L001', 'PS_Ct_r01_2016_05_30_L001', 'PS_Ct_r01_2016_07_25_L004', 'PS_Ct_r01_2016_08_22_L004', 'PS_Ct_r01_2016_09_19_L004', 'PS_Ct_r01_2016_10_17_L004', 'PS_Ct_r01_2016_11_14_L004', 'PS_Ct_r01_2016_12_12_L004', 'PS_Ct_r01_2017_01_09_L002', 'PS_Ct_r01_2017_02_06_L004', 'PS_Ct_r01_2017_03_06_L001', 'PS_Ct_r01_2017_04_03_L001', 'PS_Ct_r01_2017_05_29_L001', 'PS_Ct_r01_2017_07_24_L001', 'PS_Ct_r01_2017_08_21_L002']"
PS_Ct_r02,"['PS_Ct_r02_2015_08_24_L001', 'PS_Ct_r02_2015_09_21_L001', 'PS_Ct_r02_2015_10_19_L001', 'PS_Ct_r02_2015_11_16_L002', 'PS_Ct_r02_2015_12_14_L001', 'PS_Ct_r02_2016_01_11_L002', 'PS_Ct_r02_2016_02_08_L001', 'PS_Ct_r02_2016_03_07_L001', 'PS_Ct_r02_2016_04_03_L001', 'PS_Ct_r02_2016_05_30_L001', 'PS_Ct_r02_2016_07_25_L004', 'PS_Ct_r02_2016_08_22_L003', 'PS_Ct_r02_2016_09_19_L003', 'PS_Ct_r02_2016_10_17_L001', 'PS_Ct_r02_2016_11_14_L001', 'PS_Ct_r02_2016_12_12_L001', 'PS_Ct_r02_2017_01_09_L001', 'PS_Ct_r02_2017_02_06_L001', 'PS_Ct_r02_2017_03_06_L001', 'PS_Ct_r02_2017_04_03_L001', 'PS_Ct_r02_2017_05_29_L001', 'PS_Ct_r02_2017_06_26_L001', 'PS_Ct_r02_2017_07_24_L001', 'PS_Ct_r02_2017_08_21_L002']"
PS_Ct_r03,"['PS_Ct_r03_2015_08_24_L001', 'PS_Ct_r03_2015_09_21_L001', 'PS_Ct_r03_2015_10_19_L001', 'PS_Ct_r03_2015_11_16_L002', 'PS_Ct_r03_2015_12_14_L002', 'PS_Ct_r03_2016_01_11_L001', 'PS_Ct_r03_2016_02_08_L001', 'PS_Ct_r03_2016_03_07_L001', 'PS_Ct_r03_2016_04_03_L001', 'PS_Ct_r03_2016_05_04_L001', 'PS_Ct_r03_2016_05_30_L001', 'PS_Ct_r03_2016_07_25_L003', 'PS_Ct_r03_2016_08_22_L003', 'PS_Ct_r03_2016_09_19_L003', 'PS_Ct_r03_2016_10_17_L001', 'PS_Ct_r03_2016_11_14_L001', 'PS_Ct_r03_2016_12_12_L001', 'PS_Ct_r03_2017_01_09_L001', 'PS_Ct_r03_2017_02_06_L001', 'PS_Ct_r03_2017_03_06_L001', 'PS_Ct_r03_2017_05_29_L001', 'PS_Ct_r03_2017_06_26_L001', 'PS_Ct_r03_2017_07_24_L001', 'PS_Ct_r03_2017_08_21_L001']"
PS_Pf_r01,"['Pf_BP_1_D28_S1_L001-L004_merged', 'Pf_BP_1_D56_S34_L001-L004_merged', 'Pf_BP_1_D84_S78_L001-L004_merged', 'Pf_BP_1_D112_S24_L001-L004_merged', 'Pf_BP_1_D140_S57_L001-L004_merged', 'Pf_BP_1_D168_S3_L001-L004_merged', 'Pf_BP_1_D196_S36_L001-L004_merged', 'Pf_BP_1_D224_S69_L001-L004_merged', 'Pf_BP_1_D252_S15_L001-L004_merged', 'Pf_BP_1_D279_S48_L001-L004_merged', 'Pf_BP_1_D310_S81_L001-L004_merged', 'Pf_BP_1_D336_S27_L001-L004_merged', 'Pf_BP_1_D364_S60_L001-L004_merged', 'Pf_BP_1_D392_S89_L001-L004_merged', 'Pf_BP_1_D420_S39_L001-L004_merged', 'Pf_BP_1_D448_S72_L001-L004_merged', 'Pf_BP_1_D476_S51_L001-L004_merged', 'Pf_BP_1_D504_S149_L001-L004_merged', 'Pf_BP_1_D532_S114_L001-L004_merged', 'PS_Pf_r01_2017_01_09_L001', 'Pf_BP_1_D588_S75_L001-L004_merged', 'Pf_BP_1_D616_S127_L001-L004_merged', 'Pf_BP_1_D623_S92_L001-L004_merged', 'Pf_BP_1_D644_S140_L001-L004_merged', 'Pf_BP_1_D700_S165_L001-L004_merged', 'Pf_BP_1_D728_S106_L001-L004_merged', 'Pf_BP_1_D756_S142_L001-L004_merged', 'Pf_BP_1_D784_S178_L001-L004_merged']"
PS_Pf_r02,"['Pf_BP_2_D28_S12_L001-L004_merged', 'Pf_BP_2_D56_S56_L001-L004_merged', 'Pf_BP_2_D84_S2_L001-L004_merged', 'Pf_BP_2_D112_S35_L001-L004_merged', 'Pf_BP_2_D140_S68_L001-L004_merged', 'Pf_BP_2_D168_S14_L001-L004_merged', 'Pf_BP_2_D196_S47_L001-L004_merged', 'Pf_BP_2_D224_S80_L001-L004_merged', 'Pf_BP_2_D252_S26_L001-L004_merged', 'Pf_BP_2_D279_S59_L001-L004_merged', 'Pf_BP_2_D310_S5_L001-L004_merged', 'Pf_BP_2_D336_S38_L001-L004_merged', 'Pf_BP_2_D364_S71_L001-L004_merged', 'Pf_BP_2_D392_S101_L001-L004_merged', 'Pf_BP_2_D420_S50_L001-L004_merged', 'Pf_BP_2_D448_S83_L001-L004_merged', 'Pf_BP_2_D476_S62_L001-L004_merged', 'Pf_BP_2_D504_S161_L001-L004_merged', 'Pf_BP_2_D532_S126_L001-L004_merged', 'PS_Pf_r02_2017_01_09_L001', 'Pf_BP_2_D588_S86_L001-L004_merged', 'Pf_BP_2_D623_S104_L001-L004_merged', 'Pf_BP_2_D644_S152_L001-L004_merged', 'Pf_BP_2_D700_S177_L001-L004_merged', 'Pf_BP_2_D728_S118_L001-L004_merged', 'Pf_BP_2_D756_S154_L001-L004_merged', 'Pf_BP_2_D784_S95_L001-L004_merged']"
PS_Pf_r03,"['Pf_BP_3_D28_S23_L001-L004_merged', 'Pf_BP_3_D56_S67_L001-L004_merged', 'Pf_BP_3_D84_S13_L001-L004_merged', 'Pf_BP_3_D112_S46_L001-L004_merged', 'Pf_BP_3_D140_S79_L001-L004_merged', 'Pf_BP_3_D168_S25_L001-L004_merged', 'Pf_BP_3_D196_S58_L001-L004_merged', 'Pf_BP_3_D224_S4_L001-L004_merged', 'Pf_BP_3_D252_S37_L001-L004_merged', 'Pf_BP_3_D279_S70_L001-L004_merged', 'Pf_BP_3_D310_S16_L001-L004_merged', 'Pf_BP_3_D336_S49_L001-L004_merged', 'Pf_BP_3_D364_S82_L001-L004_merged', 'Pf_BP_3_D392_S28_L001-L004_merged', 'Pf_BP_3_D420_S61_L001-L004_merged', 'Pf_BP_3_D448_S7_L001-L004_merged', 'Pf_BP_3_D476_S73_L001-L004_merged', 'Pf_BP_3_D504_S173_L001-L004_merged', 'Pf_BP_3_D532_S138_L001-L004_merged', 'PS_Pf_r03_2017_01_09_L001', 'Pf_BP_3_D588_S174_L001-L004_merged', 'Pf_BP_3_D616_S139_L001-L004_merged', 'Pf_BP_3_D623_S116_L001-L004_merged', 'Pf_BP_3_D644_S164_L001-L004_merged', 'Pf_BP_3_D700_S94_L001-L004_merged', 'Pf_BP_3_D728_S130_L001-L004_merged', 'Pf_BP_3_D756_S166_L001-L004_merged', 'Pf_BP_3_D784_S107_L001-L004_merged']"
PS_Sc_r01,"['PS_Sc_r01_2015_11_16_L001', 'PS_Sc_r01_2015_12_14_L002', 'PS_Sc_r01_2016_01_11_L001', 'PS_Sc_r01_2016_02_08_L001', 'PS_Sc_r01_2016_03_07_L001', 'PS_Sc_r01_2016_04_03_L001', 'PS_Sc_r01_2016_05_04_L001', 'PS_Sc_r01_2016_05_30_L001', 'PS_Sc_r01_2016_07_25_L003', 'PS_Sc_r01_2016_08_22_L003', 'PS_Sc_r01_2016_09_19_L003', 'PS_Sc_r01_2016_10_17_L001', 'PS_Sc_r01_2016_11_14_L004', 'PS_Sc_r01_2016_12_12_L001', 'PS_Sc_r01_2017_01_09_L001', 'PS_Sc_r01_2017_02_06_L001', 'PS_Sc_r01_2017_03_06_L001', 'PS_Sc_r01_2017_04_03_L001', 'PS_Sc_r01_2017_05_29_L001', 'PS_Sc_r01_2017_07_24_L001', 'PS_Sc_r01_2017_08_21_L002']"
