,Order
PS_Bd_r01,"[('7', 1), ('6', 2), ('2', 3), ('1', 7), ('5', 8), ('4', 10), ('3', 19)]"
PS_Bd_r02,"[('5', 1), ('3', 1), ('6', 2), ('2', 6), ('1', 7), ('7', 13), ('4', 21)]"
PS_Bd_r03,"[('5', 1), ('4', 2), ('1', 5), ('6', 9), ('3', 11), ('2', 16), ('7', 19)]"
PS_Ct_r01,"[('1', 4), ('6', 4), ('4', 10), ('3', 10), ('5', 11), ('7', 14), ('2', 19), ('8', 21)]"
PS_Ct_r02,"[('5', 1), ('1', 2), ('4', 4), ('7', 6), ('2', 7), ('8', 7), ('6', 14), ('3', 15)]"
PS_Ct_r03,"[('7', 1), ('6', 2), ('3', 13), ('2', 19), ('5', 19), ('4', 20), ('1', 21)]"
PS_Pf_r01,"[('2', 1), ('5', 5), ('3', 8), ('4', 10), ('1', 19)]"
PS_Pf_r02,"[('1', 1), ('6', 10), ('4', 10), ('5', 12), ('2', 17), ('3', 19), ('7', 24)]"
PS_Pf_r03,"[('5', 3), ('2', 4), ('1', 14), ('4', 16), ('3', 17), ('6', 21), ('7', 26)]"
PS_Sc_r01,"[('5', 3), ('4', 7), ('1', 8), ('6', 11), ('3', 13), ('2', 17)]"
PS_Sc_r02,"[('2', 2), ('6', 4), ('3', 7), ('4', 8), ('5', 8), ('1', 18)]"
PS_Sc_r03,"[('6', 1), ('7', 1), ('4', 4), ('2', 6), ('5', 7), ('3', 14), ('1', 18)]"
PS_Sm_r01,"[('1', 2), ('3', 4), ('5', 4), ('4', 14), ('2', 20)]"
PS_Sm_r02,"[('3', 1), ('1', 3), ('6', 11), ('4', 12), ('5', 21), ('2', 21)]"
PS_Sm_r03,"[('3', 2), ('5', 2), ('4', 4), ('1', 9), ('6', 11), ('2', 20)]"
NP_Bd_r01,"[('5', 1), ('4', 2), ('1', 4), ('3', 4), ('7', 4), ('6', 6), ('2', 11)]"
NP_Bd_r02,"[('4', 1), ('5', 1), ('2', 4), ('1', 6), ('6', 8), ('3', 10)]"
NP_Bd_r03,"[('3', 1), ('1', 4), ('2', 4), ('4', 6)]"
NP_Ct_r01,"[('2', 2), ('5', 6), ('6', 7), ('7', 7), ('1', 8), ('3', 9), ('4', 13)]"
NP_Ct_r02,"[('5', 2), ('2', 3), ('1', 7), ('3', 7), ('9', 7), ('4', 8), ('7', 8), ('8', 10), ('6', 15)]"
NP_Ct_r03,"[('8', 1), ('1', 2), ('7', 8), ('2', 8), ('5', 8), ('3', 11), ('6', 11), ('4', 13)]"
NP_Pf_r01,"[('6', 3), ('3', 5), ('2', 9), ('4', 9), ('1', 11), ('7', 12), ('5', 15)]"
NP_Pf_r02,"[('1', 2), ('5', 4), ('3', 7), ('4', 8), ('6', 8), ('2', 12)]"
NP_Pf_r03,"[('4', 1), ('5', 5), ('2', 12), ('3', 12), ('1', 23)]"
NP_Sc_r01,"[('2', 2), ('4', 3), ('6', 4), ('3', 7), ('5', 7), ('1', 11)]"
NP_Sc_r02,"[('7', 0), ('2', 2), ('6', 3), ('4', 4), ('1', 5), ('3', 7), ('5', 8)]"
NP_Sc_r03,"[('2', 1), ('7', 2), ('6', 3), ('3', 4), ('5', 7), ('4', 8), ('1', 11)]"
NP_Sm_r01,"[('5', 1), ('4', 2), ('2', 4), ('6', 8), ('1', 8), ('3', 13)]"
NP_Sm_r02,"[('3', 1), ('1', 1), ('6', 3), ('2', 6), ('4', 8), ('5', 9)]"
NP_Sm_r03,"[('5', 3), ('3', 5), ('1', 9), ('2', 9), ('4', 10)]"
