Replicate	Cluster	Clone	Clone letter	Time of emergence
NP_Sc_r03	1	A	A	1
NP_Sc_r03	6	AB	B	2
NP_Sc_r03	5	ABC	C	3
NP_Sc_r03	2	ABCD	D	4
NP_Sc_r03	4	E	E	7
NP_Sc_r03	3	F	F	8
NP_Sc_r03	0	FG	G	11
PS_Sc_r02	1	A	A	2
PS_Sc_r02	5	B	B	4
PS_Sc_r02	2	BC	C	7
PS_Sc_r02	3	BCD	D	8
PS_Sc_r02	4	BCE	E	8
PS_Sc_r02	0	BCEF	F	18
PS_Sc_r01	4	A	A	3
PS_Sc_r01	3	AB	B	7
PS_Sc_r01	0	AC	C	8
PS_Sc_r01	5	ACD	D	11
PS_Sc_r01	2	ACE	E	13
PS_Sc_r01	1	ABF	F	17
PS_Ct_r03	6	A	A	1
PS_Ct_r03	5	AB	B	2
PS_Ct_r03	2	AC	C	13
PS_Ct_r03	1	AD	D	19
PS_Ct_r03	4	ADE	E	19
PS_Ct_r03	3	ADF	F	20
PS_Ct_r03	0	ADFG	G	21
NP_Ct_r01	1	A	A	2
NP_Ct_r01	4	AB	B	6
NP_Ct_r01	5	AC	C	7
NP_Ct_r01	6	ACD	D	7
NP_Ct_r01	0	ACE	E	8
NP_Ct_r01	2	ACDF	F	9
NP_Ct_r01	3	AG	G	13
PS_Pf_r01	1	A	A	1
PS_Pf_r01	4	B	B	5
PS_Pf_r01	2	AC	C	8
PS_Pf_r01	3	BD	D	10
PS_Pf_r01	0	BDE	E	19
NP_Pf_r02	0	A	A	2
NP_Pf_r02	4	B	B	4
NP_Pf_r02	2	BC	C	7
NP_Pf_r02	3	AD	D	8
NP_Pf_r02	5	AE	E	8
NP_Pf_r02	1	BF	F	12
PS_Bd_r01	6	A	A	1
PS_Bd_r01	5	AB	B	2
PS_Bd_r01	1	AC	C	3
PS_Bd_r01	0	AD	D	7
PS_Bd_r01	4	ACE	E	8
PS_Bd_r01	3	ADF	F	10
PS_Bd_r01	2	ADG	G	19
PS_Ct_r01	0	A	A	4
PS_Ct_r01	5	B	B	4
PS_Ct_r01	3	C	C	10
PS_Ct_r01	2	CD	D	10
PS_Ct_r01	4	E	E	11
PS_Ct_r01	6	F	F	14
PS_Ct_r01	1	FG	G	19
PS_Ct_r01	7	FH	H	21
NP_Ct_r02	4	A	A	2
NP_Ct_r02	1	AB	B	3
NP_Ct_r02	0	AC	C	7
NP_Ct_r02	2	ACD	D	7
NP_Ct_r02	8	ACDE	E	7
NP_Ct_r02	3	ACDEF	F	8
NP_Ct_r02	6	ACDEG	G	8
NP_Ct_r02	7	ACDEH	H	10
NP_Ct_r02	5	ACDEHI	I	15
NP_Sm_r01	4	A	A	1
NP_Sm_r01	3	AB	B	2
NP_Sm_r01	1	C	C	4
NP_Sm_r01	5	ABD	D	8
NP_Sm_r01	0	ABDE	E	8
NP_Sm_r01	2	ABDF	F	13
PS_Sc_r03	5	A	A	1
PS_Sc_r03	6	AB	B	1
