Generation	Identity	Population
0	0	1.0
1	0	0.7128
2	0	0.6711868886627977
3	0	0.4284
4	0	0.26550000000000007
5	0	0.12309999999999999
6	0	0.06779999999999997
7	0	0.009499999999999953
8	0	0.004536460014280763
9	0	0.005406457592616154
10	0	0.005700000000000038
11	0	0.018000000000000016
12	0	0.006999999999999895
13	0	0.00770000000000004
14	0	0.007000000000000006
15	0	0.007900000000000018
16	0	0.0069501263724341955
17	0	0.02539563437976633
18	0	0.011972161923486935
19	0	0.010997491214002064
20	0	0.009437322040054208
21	0	0.007623205595861715
22	0	0.0075293613360635225
23	0	0.0022999999999999687
0	A	0.0
1	A	0.2872
2	A	0.0
3	A	0.18309999999999998
4	A	0.1814
5	A	0.21789999999999998
6	A	0.11560000000000004
7	A	0.2017000000000001
8	A	0.0
9	A	0.0
10	A	0.04379999999999995
11	A	0.022199999999999998
12	A	0.030000000000000027
13	A	0.0686
14	A	0.008600000000000052
15	A	0.0004999999999999449
16	A	0.0
17	A	0.0
18	A	0.0
19	A	0.0
20	A	0.0
21	A	0.0
22	A	0.0
23	A	0.023600000000000065
0	AB	0.0
1	AB	0.0
2	AB	0.32881311133720226
3	AB	0.26
4	AB	0.1146
5	AB	0.1115
6	AB	0.1198
7	AB	0.0941
8	AB	0.039755872244167004
9	AB	0.029968361510485018
10	AB	0.0235
11	AB	0.0015
12	AB	0.0015
13	AB	0.0029
14	AB	0.0023
15	AB	0.0033
16	AB	0.0011563899547337004
17	AB	0.0029281581056626515
18	AB	0.0017276569929451366
19	AB	0.002409145739028543
20	AB	0.0017750345073317898
21	AB	0.0024578383059345606
22	AB	0.0027778832662150536
23	AB	0.0007
0	AC	0.0
1	AC	0.0
2	AC	0.0
3	AC	0.1285
4	AC	0.4385
5	AC	0.5475
6	AC	0.6968
7	AC	0.4699
8	AC	0.674087252534103
9	AC	0.4310300972366129
10	AC	0.4257
11	AC	0.3357
12	AC	0.2929
13	AC	0.14089999999999997
14	AC	0.1925
15	AC	0.06510000000000002
16	AC	0.11756631206459295
17	AC	0.014640790528313264
18	AC	0.06824245122133286
19	AC	0.06205959423737526
20	AC	0.06847896283548432
21	AC	0.15405730501597834
22	AC	0.1192574022909566
23	AC	0.128
0	ACE	0.0
1	ACE	0.0
2	ACE	0.0
3	ACE	0.0
4	ACE	0.0
5	ACE	0.0
6	ACE	0.0
7	ACE	0.0
8	ACE	0.2643863425104704
9	ACE	0.0946525477410368
10	ACE	0.1053
11	ACE	0.1286
12	ACE	0.1451
13	ACE	0.13
14	ACE	0.2794
15	ACE	0.2478
16	ACE	0.369081127219173
17	ACE	0.33220425992308217
18	ACE	0.34485953198065983
19	ACE	0.3006613882307624
20	ACE	0.33706971065542596
21	ACE	0.3375103561709339
22	ACE	0.3392849147908176
23	ACE	0.3498
0	AD	0.0
1	AD	0.0
2	AD	0.0
3	AD	0.0
4	AD	0.0
5	AD	0.0
6	AD	0.0
7	AD	0.2248
8	AD	0.017234072696978815
9	AD	0.4389425359192491
10	AD	0.2164
11	AD	0.2707
12	AD	0.29009999999999997
13	AD	0.47930000000000006
14	AD	0.4475
15	AD	0.5481
16	AD	0.4351880862981162
17	AD	0.5194174652593201
18	AD	0.5354776868689397
19	AD	0.5038969227752103
20	AD	0.5229812195812298
21	AD	0.25679494620404286
22	AD	0.2800872644969935
23	AD	0.2283
0	ADF	0.0
1	ADF	0.0
2	ADF	0.0
3	ADF	0.0
4	ADF	0.0
5	ADF	0.0
6	ADF	0.0
7	ADF	0.0
8	ADF	0.0
9	ADF	0.0
10	ADF	0.1796
11	ADF	0.2233
12	ADF	0.2334
13	ADF	0.1706
14	ADF	0.0627
15	ADF	0.1273
16	ADF	0.07005795809095006
17	ADF	0.10541369180385547
18	ADF	0.03772051101263551
19	ADF	0.022260506628623753
20	ADF	0.0025224174577872824
21	ADF	0.0013763894513233541
22	ADF	0.005076821141703371
23	ADF	0.0007
0	ADG	0.0
1	ADG	0.0
2	ADG	0.0
3	ADG	0.0
4	ADG	0.0
5	ADG	0.0
6	ADG	0.0
7	ADG	0.0
8	ADG	0.0
9	ADG	0.0
10	ADG	0.0
11	ADG	0.0
12	ADG	0.0
13	ADG	0.0
14	ADG	0.0
15	ADG	0.0
16	ADG	0.0
17	ADG	0.0
18	ADG	0.0
19	ADG	0.09771495117499772
20	ADG	0.05773533292268666
21	ADG	0.24017995925592525
22	ADG	0.24598635267725025
23	ADG	0.2666
